topic,month,article_count,avg_tone
fracking,2020-04,252,-1.8097
fracking,2020-05,99,-2.127
fracking,2020-06,276,-3.0471
fracking,2020-07,352,-1.8851
fracking,2020-08,142,-1.849
fracking,2020-09,452,-2.5802
fracking,2020-10,533,-2.1295
fracking,2020-11,132,-1.3082
fracking,2020-12,149,-1.174
fracking,2021-01,174,-2.0468
fracking,2021-02,443,-2.44
fracking,2021-03,176,-1.4045
fracking,2021-04,421,-1.6984
fracking,2021-05,139,-1.5599
fracking,2021-06,95,-1.3088
fracking,2021-07,143,-1.6218
fracking,2021-08,72,-1.4787
fracking,2021-09,85,-0.5383
fracking,2021-10,72,-1.639
fracking,2021-11,138,-1.8126
fracking,2021-12,57,-1.5692
fracking,2022-01,66,-1.8638
fracking,2022-02,323,-2.4936
fracking,2022-03,336,-1.8205
fracking,2022-04,495,-1.5214
fracking,2022-05,72,-0.7884
fracking,2022-06,85,-2.0875
fracking,2022-07,169,-2.9716
fracking,2022-08,193,-2.6901
fracking,2022-09,1178,-2.348
fracking,2022-10,811,-3.3336
fracking,2022-11,99,-1.9723
fracking,2022-12,131,-1.2259
fracking,2023-01,61,-1.4066
fracking,2023-02,38,-1.1595
fracking,2023-03,78,-0.9352
fracking,2023-04,193,-1.359
fracking,2023-05,295,-2.2754
fracking,2023-06,207,-1.044
fracking,2023-07,73,-1.3539
fracking,2023-08,271,-2.1262
fracking,2023-09,128,-1.6167
fracking,2023-10,76,-1.3971
fracking,2023-11,128,-1.4484
fracking,2023-12,99,-0.7201
fracking,2024-01,87,-1.5947
fracking,2024-02,170,-1.1255
fracking,2024-03,184,-1.4549
fracking,2024-04,261,-1.392
fracking,2024-05,95,-0.8895
fracking,2024-06,91,-0.7951
fracking,2024-07,106,-1.3703
fracking,2024-08,731,-2.1113
fracking,2024-09,499,-2.1819
fracking,2024-10,156,-1.7551
fracking,2024-11,337,-1.1
fracking,2024-12,96,-0.7975
fracking,2025-01,91,-1.6096
fracking,2025-02,159,-1.4006
fracking,2025-03,122,-1.7225
fracking,2025-04,51,-1.9233
fracking,2025-05,80,-1.7324
fracking,2025-06,32,-1.6023
fracking,2025-07,37,-1.5316
fracking,2025-08,60,-1.5743
fracking,2025-09,58,-1.7175
fracking,2025-10,144,-2.5896
fracking,2025-11,39,-1.8249
fracking,2025-12,49,-2.6355
fracking,2026-01,45,-2.0413
fracking,2026-02,60,-1.6344
fracking,2026-03,35,-2.3144
fracking,2026-04,90,-1.6528
fracking,2026-05,66,-1.1857
fracking,2026-06,147,-1.6475
solar,2015-02,305,0.8662
solar,2015-03,1145,0.9106
solar,2015-04,1011,0.6871
solar,2015-05,887,0.6984
solar,2015-06,879,0.5256
solar,2015-07,1089,0.6425
solar,2015-08,1176,0.7073
solar,2015-09,1085,0.431
solar,2015-10,1163,1.0228
solar,2015-11,832,0.612
solar,2015-12,1341,-0.8231
solar,2016-01,1106,0.6201
solar,2016-02,752,0.7041
solar,2016-03,876,0.7678
solar,2016-04,1214,0.6936
solar,2016-05,754,0.7583
solar,2016-06,1054,-0.1051
solar,2016-07,944,0.6674
solar,2016-08,827,0.4019
solar,2016-09,994,0.9639
solar,2016-10,835,0.7776
solar,2016-11,1041,0.5511
solar,2016-12,875,0.5182
solar,2017-01,897,0.8789
solar,2017-02,1376,-0.1863
solar,2017-03,962,0.6116
solar,2017-04,1324,0.7403
solar,2017-05,921,0.3604
solar,2017-06,1175,1.0923
solar,2017-07,1077,-0.6203
solar,2017-08,692,0.6044
solar,2017-09,932,0.5359
solar,2017-10,873,0.5415
solar,2017-11,787,0.4853
solar,2017-12,683,0.5315
solar,2018-01,2078,-1.224
solar,2018-02,813,0.4126
solar,2018-03,649,0.4688
solar,2018-04,927,0.5926
solar,2018-05,1882,0.3394
solar,2018-06,841,0.9662
solar,2018-07,857,0.1407
solar,2018-08,1120,0.362
solar,2018-09,1000,0.5829
solar,2018-10,911,1.1224
solar,2018-11,905,0.7369
solar,2018-12,645,0.8645
solar,2019-01,724,1.1435
solar,2019-02,637,0.9335
solar,2019-03,807,0.7732
solar,2019-04,643,1.0084
solar,2019-05,868,0.9685
solar,2019-06,748,1.0146
solar,2019-07,843,1.0782
solar,2019-08,1109,-0.8334
solar,2019-09,620,0.9475
solar,2019-10,784,0.5699
solar,2019-11,723,-0.1343
solar,2019-12,570,0.5917
solar,2020-01,498,0.9145
solar,2020-02,681,0.4452
solar,2020-03,398,0.8674
solar,2020-04,267,1.307
solar,2020-05,354,0.6734
solar,2020-06,417,1.5917
solar,2020-07,495,0.9757
solar,2020-08,444,0.7062
solar,2020-09,443,0.9831
solar,2020-10,342,0.915
solar,2020-11,265,0.7611
solar,2020-12,336,0.6097
solar,2021-01,455,0.8008
solar,2021-02,442,0.7349
solar,2021-03,786,0.6143
solar,2021-04,588,0.9198
solar,2021-05,529,-0.3313
solar,2021-06,1113,-0.2917
solar,2021-07,574,0.842
solar,2021-08,486,0.6087
solar,2021-09,608,0.9667
solar,2021-10,490,0.9342
solar,2021-11,655,0.5973
solar,2021-12,515,0.41
solar,2022-01,498,0.56
solar,2022-02,482,0.6244
solar,2022-03,586,0.6178
solar,2022-04,741,0.1383
solar,2022-05,547,1.1176
solar,2022-06,787,0.122
solar,2022-07,577,1.0957
solar,2022-08,655,0.7238
solar,2022-09,686,0.0975
solar,2022-10,628,0.8303
solar,2022-11,704,0.5524
solar,2022-12,619,0.0726
solar,2023-01,601,0.5856
solar,2023-02,527,0.6709
solar,2023-03,748,0.7502
solar,2023-04,977,0.4844
solar,2023-05,1035,0.6586
solar,2023-06,915,1.0955
solar,2023-07,993,0.189
solar,2023-08,1177,0.363
solar,2023-09,720,0.7899
solar,2023-10,894,0.7833
solar,2023-11,913,1.1147
solar,2023-12,666,0.4833
solar,2024-01,886,0.5122
solar,2024-02,759,0.4469
solar,2024-03,893,0.5131
solar,2024-04,988,0.695
solar,2024-05,807,0.3692
solar,2024-06,836,0.7746
solar,2024-07,894,0.7545
solar,2024-08,1060,0.9978
solar,2024-09,777,0.773
solar,2024-10,833,0.7822
solar,2024-11,704,0.6802
solar,2024-12,697,0.6108
solar,2025-01,837,0.3607
solar,2025-02,686,0.4659
solar,2025-03,720,0.705
solar,2025-04,1028,1.0188
solar,2025-05,676,-0.185
solar,2025-06,454,0.0494
solar,2025-07,825,0.4946
solar,2025-08,784,0.6498
solar,2025-09,592,1.075
solar,2025-10,642,0.4387
solar,2025-11,385,0.9154
solar,2025-12,365,0.4486
solar,2026-01,573,0.4717
solar,2026-02,565,0.6356
solar,2026-03,756,-0.0363
solar,2026-04,560,0.5078
solar,2026-05,561,0.3527
solar,2026-06,396,0.3703
wind,2015-02,502,0.3965
wind,2015-03,1674,0.0526
wind,2015-04,1647,0.0281
wind,2015-05,1433,-0.1385
wind,2015-06,3214,-0.5989
wind,2015-07,3508,-0.208
wind,2015-08,2538,-0.0126
wind,2015-09,1714,0.4421
wind,2015-10,1959,0.2294
wind,2015-11,2005,0.5829
wind,2015-12,2125,-0.1901
wind,2016-01,1334,0.3753
wind,2016-02,1627,0.3724
wind,2016-03,2059,0.1408
wind,2016-04,1566,0.3143
wind,2016-05,2483,0.3247
wind,2016-06,2318,0.4884
wind,2016-07,2625,0.5398
wind,2016-08,2527,0.2259
wind,2016-09,1812,0.7779
wind,2016-10,1914,-0.4756
wind,2016-11,1810,0.3922
wind,2016-12,2836,0.1591
wind,2017-01,2338,0.4891
wind,2017-02,1522,0.0796
wind,2017-03,1939,0.5272
wind,2017-04,1444,0.2331
wind,2017-05,1642,0.3482
wind,2017-06,1846,0.5683
wind,2017-07,1688,0.3643
wind,2017-08,1585,1.3291
wind,2017-09,1683,0.6228
wind,2017-10,2199,0.6866
wind,2017-11,1833,0.4113
wind,2017-12,1960,0.3995
wind,2018-01,1583,0.4673
wind,2018-02,1505,0.7108
wind,2018-03,1851,0.7293
wind,2018-04,1957,0.6688
wind,2018-05,2127,0.7332
wind,2018-06,1990,0.7563
wind,2018-07,2295,0.4676
wind,2018-08,1623,0.6673
wind,2018-09,2590,0.6956
wind,2018-10,2063,0.4878
wind,2018-11,1906,0.9436
wind,2018-12,1489,1.1937
wind,2019-01,1297,0.6445
wind,2019-02,1519,0.8325
wind,2019-03,1600,0.9313
wind,2019-04,1926,0.2067
wind,2019-05,1671,1.0501
wind,2019-06,1644,1.3234
wind,2019-07,1688,0.9662
wind,2019-08,1805,0.7261
wind,2019-09,1937,1.0918
wind,2019-10,1933,0.6863
wind,2019-11,1514,0.7522
wind,2019-12,1628,0.4564
wind,2020-01,1313,1.0437
wind,2020-02,1197,0.9191
wind,2020-03,1120,1.1755
wind,2020-04,924,0.7801
wind,2020-05,1005,0.7643
wind,2020-06,1401,1.0309
wind,2020-07,1347,0.9223
wind,2020-08,1083,1.1244
wind,2020-09,1146,1.014
wind,2020-10,879,0.8792
wind,2020-11,793,1.0231
wind,2020-12,1114,1.13
wind,2021-01,980,1.1271
