topic,quarter,n_relevant,positive_share,negative_share,neutral_share,net_sentiment
wind,2021Q2,36,0.4444,0.1667,0.3889,0.2778
wind,2021Q3,32,0.4688,0.25,0.2812,0.2188
wind,2021Q4,38,0.4474,0.1053,0.4474,0.3421
wind,2022Q1,36,0.6111,0.1667,0.2222,0.4444
wind,2022Q2,33,0.4242,0.1212,0.4545,0.303
wind,2022Q3,39,0.5128,0.0513,0.4359,0.4615
wind,2022Q4,37,0.5405,0.1622,0.2973,0.3784
wind,2023Q1,38,0.6053,0.1053,0.2895,0.5
wind,2023Q2,40,0.625,0.2,0.175,0.425
wind,2023Q3,40,0.5,0.25,0.25,0.25
wind,2023Q4,39,0.5641,0.2308,0.2051,0.3333
wind,2024Q1,40,0.5,0.3,0.2,0.2
wind,2024Q2,36,0.3611,0.3056,0.3333,0.0556
wind,2024Q3,39,0.4359,0.4103,0.1538,0.0256
wind,2024Q4,40,0.5,0.425,0.075,0.075
wind,2025Q1,39,0.4359,0.4103,0.1538,0.0256
wind,2025Q2,39,0.4359,0.3077,0.2564,0.1282
wind,2025Q3,40,0.35,0.5,0.15,-0.15
wind,2025Q4,40,0.375,0.475,0.15,-0.1
wind,2026Q1,38,0.5,0.3684,0.1316,0.1316
wind,2026Q2,40,0.5,0.325,0.175,0.175
